YMCC,fuelups,kml
2010 BMS Motorsports BeMine 150,Added Feb 2013 &bull; 4 fuel-ups Property of MiniLongboarder . 4.3Avg L/100km.,4.3
2012 BMS Motorsports Heritage 150,Added Aug 2012 Property of HeatherB . N/AAvg L/100km.,N/A
2010 BMS Motorsports Heritage 150,Added Apr 2011 &bull; 3 fuel-ups Property of melemel . 4.6Avg L/100km.,4.6
2011 BMS Motorsports Palazzo 150,Added Apr 2012 &bull; 20 fuel-ups Property of besumi . 3.6Avg L/100km.,3.6
2012 BMS Motorsports TBX 260,Added Mar 2013 &bull; 2 fuel-ups Property of bobiii . 3.6Avg L/100km.,3.6
2012 BMS Motorsports TBX 260,Added Aug 2012 &bull; 15 fuel-ups Property of mikeyphillips . 3.0Avg L/100km.,3
2008 BMS Motorsports TBX 260,Added Jul 2010 &bull; 7 fuel-ups Property of Dialm4speed . 2.6Avg L/100km.,2.6
2004 BMW BOXERCUP,Added Mar 2010 &bull; 4 fuel-ups Property of DVH . 4.1Avg L/100km.,4.1
2004 BMW BOXERCUP,Added Jul 2012 Property of qed . N/AAvg L/100km.,N/A
2013 BMW C 650 GT,Added Feb 2013 &bull; 9 fuel-ups Property of Squall . 5.7Avg L/100km.,5.7
2013 BMW C 650 GT,Added Jan 2013 &bull; 23 fuel-ups Property of DavidH . 5.3Avg L/100km.,5.3
2013 BMW C 650 GT,Added Dec 2012 &bull; 14 fuel-ups Property of dmltech . 4.6Avg L/100km.,4.6
2013 BMW C 650 GT,Added Feb 2013 &bull; 6 fuel-ups Property of ggoldfogel . 4.8Avg L/100km.,4.8
2012 BMW C 650 GT,Added Aug 2012 &bull; 4 fuel-ups Property of ttdriver . 4.9Avg L/100km.,4.9
2011 BMW F650 GS,Added Apr 2013 &bull; 2 fuel-ups Property of djpreston . 3.9Avg L/100km.,3.9
2009 BMW F650 GS,Added May 2011 &bull; 37 fuel-ups Property of dawidmocke . 4.1Avg L/100km.,4.1
2009 BMW F650 GS,Added Jan 2013 &bull; 10 fuel-ups Property of Chipskip . 515.8Avg L/100km.,515.8
2009 BMW F650 GS,Added Aug 2012 Property of johnnyleroux . N/AAvg L/100km.,N/A
2007 BMW F650 GS,Added May 2012 &bull; 7 fuel-ups Property of balarsen. 3.5Avg L/100km.,3.5
2007 BMW F650 GS,Added Apr 2011 &bull; 47 fuel-ups Property of fs2k2isfun . 4.4Avg L/100km.,4.4
2007 BMW F650 GS,Added Mar 2013 &bull; 5 fuel-ups Property of ardaka25 . 5.0Avg L/100km.,5
2007 BMW F650 GS,Added Mar 2013 &bull; 6 fuel-ups Property of Silver3ullet . 4.0Avg L/100km.,4
2007 BMW F650 GS,Added Jan 2012 Property of bwyman74 . N/AAvg L/100km.,N/A
2007 BMW F650 GS,Added Aug 2012 Property of justjules . N/AAvg L/100km.,N/A
2007 BMW F650 GS,Added Feb 2012 Property of jpiet . N/AAvg L/100km.,N/A
2007 BMW F650 GS,Added Jul 2010 Property of xajorkith . N/AAvg L/100km.,N/A
2006 BMW F650 GS,Added Sep 2011 &bull; 27 fuel-ups Property of MistaH . 3.8Avg L/100km.,3.8
2006 BMW F650 GS,Added Aug 2011 &bull; 3 fuel-ups Property of PHC . 4.0Avg L/100km.,4
2006 BMW F650 GS,Added Apr 2011 &bull; 26 fuel-ups Property of existent80 . 4.1Avg L/100km.,4.1
2006 BMW F650 GS,Added Aug 2012 &bull; 27 fuel-ups Property of ArnoRoux . 5.3Avg L/100km.,5.3
2006 BMW F650 GS,Added Mar 2013 &bull; 1 fuel-up Property of decker . 10.0Avg L/100km.,10
2006 BMW F650 GS,Added Jun 2011 &bull; 7 fuel-ups Property of Hanno . 13.8Avg L/100km.,13.8
2006 BMW F650 GS,Added Mar 2012 Property of FrancoisMarais . N/AAvg L/100km.,N/A
2005 BMW F650 GS,Added May 2012 &bull; 35 fuel-ups Property of johnrhopkins . 4.5Avg L/100km.,4.5
