Year,Make,Model,Model,fuelups,user,kml,kms,CC,,,
2008,Adly,Thunder Bike 150  ,Thunder,25,tcrusher,30.3,757.5,150,,,
2008,AJS,JS 125 E  ,JS,28,yorkshirepudding,37.3,1044.4,125,,,
2004,Aprilia,Atlantic 500   ,Atlantic,10,Railhead2,27.1,271,500,,,
2004,Aprilia,Atlantic 500   ,Atlantic,11,minixtc,24.2,266.2,500,,,
2006,Aprilia,Caponord    ,Caponord,389,dadsafrantic,17.8,6924.2,,,,
2006,Aprilia,Caponord    ,Caponord,3,uwe999.,15.8,47.4,,,,
2005,Aprilia,Caponord    ,Caponord,14,nebo,15.2,212.8,,,,
2005,Aprilia,Caponord    ,Caponord,32,caporaid,17.1,547.2,,,,
2003,Aprilia,Caponord    ,Caponord,50,SLOspeed,17.4,870,,,,
2003,Aprilia,Caponord    ,Caponord,34,calgaryjeff,14.5,493,,,,
2002,Aprilia,Caponord    ,Caponord,4,lmcjn,15.5,62,,,,
2002,Aprilia,Caponord    ,Caponord,10,patrickplummer,17.8,178,,,,
2002,Aprilia,Caponord    ,Caponord,2,bikeral64,17.1,34.2,,,,
2001,Aprilia,Caponord    ,Caponord,20,FlowerKing,15.6,312,,,,
2001,Aprilia,Caponord    ,Caponord,8,dotted,15.6,124.8,,,,
2002,Aprilia,Classic 125   ,Classic,16,andyuk,15,240,125,,,
2001,Aprilia,Futura    ,Futura,124,wynterwolf,18.1,2244.4,,,,
2001,Aprilia,Futura    ,Futura,19,shaun,12.2,231.8,,,,
2009,Aprilia,Mana    ,Mana,26,evastos,13.4,348.4,,,,
2009,Aprilia,Mana    ,Mana,114,thperez1972,15.9,1812.6,,,,
2009,Aprilia,Mana    ,Mana,49,VTX,20.6,1009.4,,,,
2009,Aprilia,Mana    ,Mana,25,vrider,22.6,565,,,,
2009,Aprilia,Mana    ,Mana,9,dadsafrantic,20.1,180.9,,,,
2009,Aprilia,Mana    ,Mana,17,maweber,18.6,316.2,,,,
2009,Aprilia,Mana    ,Mana,1,rcan08,20.3,20.3,,,,
2008,Aprilia,Mana    ,Mana,14,fd2526,14.7,205.8,,,,
2008,Aprilia,Mana    ,Mana,1,tigerdon,17.2,17.2,,,,
2012,Aprilia,Mana GT   ,Mana,5,nileshp9,20.2,101,,,,
2011,Aprilia,Mana GT   ,Mana,14,szax,13.3,186.2,,,,
2010,Aprilia,Mana GT   ,Mana,27,spartan1984,17.1,461.7,,,,
2010,Aprilia,Mana GT   ,Mana,7,nosnikram,20.3,142.1,,,,
2010,Aprilia,Mana GT   ,Mana,1,durdle,21.2,21.2,,,,
2008,Aprilia,Mana GT   ,Mana,35,luckyluk,17.2,602,,,,
2008,Aprilia,Mojito 125   ,Mojito,6,meinbrighton,30.6,183.6,125,,,
2007,Aprilia,Mojito 150   ,Mojito,29,Modestboy,27.7,803.3,150,,,
2004,Aprilia,Mojito 150   ,Mojito,39,phlipsyde74,27,1053,150,,,
2004,Aprilia,Mojito 150   ,Mojito,15,kdemas,31.4,471,150,,,
2005,Aprilia,Mojito Custom 50cc  ,Mojito,21,cjacobATX,26.6,558.6,50,,,
