2008,Adly,Thunder Bike 150,30.3,71.3,3.3,150,http://www.fuelly.com/driver/tcrusher/
2008,AJS,JS 125 E,37.3,87.7,2.68,125,http://www.fuelly.com/driver/yorkshirepudding/
2004,Aprilia,Atlantic 500,24.2,56.9,4.13,500,http://www.fuelly.com/driver/minixtc/
2004,Aprilia,Atlantic 500,27.1,63.7,3.69,500,http://www.fuelly.com/driver/Railhead2/
2003,Aprilia,Caponord,14.5,34.1,6.9,997,http://www.fuelly.com/driver/calgaryjeff/
2005,Aprilia,Caponord,15.2,35.8,6.58,997,http://www.fuelly.com/driver/nebo/
2002,Aprilia,Caponord,15.5,36.5,6.45,997,http://www.fuelly.com/driver/lmcjn/
2001,Aprilia,Caponord,15.6,36.7,6.41,997,http://www.fuelly.com/driver/FlowerKing/
2001,Aprilia,Caponord,15.6,36.7,6.41,997,http://www.fuelly.com/driver/dotted/
2006,Aprilia,Caponord,15.8,37.2,6.33,997,http://www.fuelly.com/driver/uwe999./
2005,Aprilia,Caponord,17.1,40.2,5.85,997,http://www.fuelly.com/driver/caporaid/
2002,Aprilia,Caponord,17.1,40.2,5.85,997,http://www.fuelly.com/driver/bikeral64/
2003,Aprilia,Caponord,17.4,40.9,5.75,997,http://www.fuelly.com/driver/SLOspeed/
2006,Aprilia,Caponord,17.8,41.9,5.62,997,http://www.fuelly.com/driver/dadsafrantic/
2002,Aprilia,Caponord,17.8,41.9,5.62,997,http://www.fuelly.com/driver/patrickplummer/
2002,Aprilia,Classic 125,15,35.3,6.67,125,http://www.fuelly.com/driver/andyuk/
2001,Aprilia,Futura,12.2,28.7,8.2,998,http://www.fuelly.com/driver/shaun/
2001,Aprilia,Futura,18.1,42.6,5.52,998,http://www.fuelly.com/driver/wynterwolf/
2009,Aprilia,Mana,13.4,31.5,7.46,840,http://www.fuelly.com/driver/evastos/
2008,Aprilia,Mana,14.7,34.6,6.8,840,http://www.fuelly.com/driver/fd2526/
2009,Aprilia,Mana,15.9,37.4,6.29,840,http://www.fuelly.com/driver/thperez1972/
2008,Aprilia,Mana,17.2,40.5,5.81,840,http://www.fuelly.com/driver/tigerdon/
2009,Aprilia,Mana,18.6,43.8,5.38,840,http://www.fuelly.com/driver/maweber/
2009,Aprilia,Mana,20.1,47.3,4.98,840,http://www.fuelly.com/driver/dadsafrantic/
2009,Aprilia,Mana,20.3,47.7,4.93,840,http://www.fuelly.com/driver/rcan08/
2009,Aprilia,Mana,20.6,48.5,4.85,840,http://www.fuelly.com/driver/VTX/
2009,Aprilia,Mana,22.6,53.2,4.42,840,http://www.fuelly.com/driver/vrider/
2011,Aprilia,Mana GT,13.3,31.3,7.52,840,http://www.fuelly.com/driver/szax/
2010,Aprilia,Mana GT,17.1,40.2,5.85,840,http://www.fuelly.com/driver/spartan1984/
2008,Aprilia,Mana GT,17.2,40.5,5.81,840,http://www.fuelly.com/driver/luckyluk/
2012,Aprilia,Mana GT,20.2,47.5,4.95,840,http://www.fuelly.com/driver/nileshp9/
2010,Aprilia,Mana GT,20.3,47.7,4.93,840,http://www.fuelly.com/driver/nosnikram/
2010,Aprilia,Mana GT,21.2,49.9,4.72,840,http://www.fuelly.com/driver/durdle/
2008,Aprilia,Mojito 125,30.6,72,3.27,125,http://www.fuelly.com/driver/meinbrighton/
2004,Aprilia,Mojito 150,27,63.5,3.7,150,http://www.fuelly.com/driver/phlipsyde74/
2007,Aprilia,Mojito 150,27.7,65.2,3.61,150,http://www.fuelly.com/driver/Modestboy/
2004,Aprilia,Mojito 150,31.4,73.9,3.18,150,http://www.fuelly.com/driver/kdemas/
2005,Aprilia,Mojito Custom 50cc,26.6,62.6,3.76,50,http://www.fuelly.com/driver/cjacobATX/
2005,Aprilia,Mojito Custom 50cc,28.2,66.3,3.55,50,http://www.fuelly.com/driver/labs2/
2002,Aprilia,Mojito Custom 50cc,29.8,70.1,3.36,50,http://www.fuelly.com/driver/mglc021/
2005,Aprilia,mx 125,16.4,38.6,6.1,125,http://www.fuelly.com/driver/DannyS/
2003,Aprilia,RS 125,21.3,50.1,4.69,125,http://www.fuelly.com/driver/Dazed/
2011,Aprilia,RS 125,22.3,52.5,4.48,125,http://www.fuelly.com/driver/ErrolGlenn/
2001,Aprilia,RS 125,24.1,56.7,4.15,125,http://www.fuelly.com/driver/CrashDummy/
