Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2008,Adly,Thunder Bike 150,25,tcrusher,30.3,71.3,3.30,150,,http://www.fuelly.com/driver/tcrusher/
2008,AJS,JS 125 E,28,yorkshirepudding,37.3,87.7,2.68,125,,http://www.fuelly.com/driver/yorkshirepudding/
2004,Aprilia,Atlantic 500,11,minixtc,24.2,56.9,4.13,500,,http://www.fuelly.com/driver/minixtc/
2004,Aprilia,Atlantic 500,10,Railhead2,27.1,63.7,3.69,500,,http://www.fuelly.com/driver/Railhead2/
2003,Aprilia,Caponord,34,calgaryjeff,14.5,34.1,6.90,997,Touring,http://www.fuelly.com/driver/calgaryjeff/
2005,Aprilia,Caponord,14,nebo,15.2,35.8,6.58,997,Touring,http://www.fuelly.com/driver/nebo/
2002,Aprilia,Caponord,4,lmcjn,15.5,36.5,6.45,997,Touring,http://www.fuelly.com/driver/lmcjn/
2001,Aprilia,Caponord,20,FlowerKing,15.6,36.7,6.41,997,Touring,http://www.fuelly.com/driver/FlowerKing/
2001,Aprilia,Caponord,8,dotted,15.6,36.7,6.41,997,Touring,http://www.fuelly.com/driver/dotted/
2006,Aprilia,Caponord,3,uwe999.,15.8,37.2,6.33,997,Touring,http://www.fuelly.com/driver/uwe999./
2005,Aprilia,Caponord,32,caporaid,17.1,40.2,5.85,997,Touring,http://www.fuelly.com/driver/caporaid/
2002,Aprilia,Caponord,2,bikeral64,17.1,40.2,5.85,997,Touring,http://www.fuelly.com/driver/bikeral64/
2003,Aprilia,Caponord,50,SLOspeed,17.4,40.9,5.75,997,Touring,http://www.fuelly.com/driver/SLOspeed/
2006,Aprilia,Caponord,389,dadsafrantic,17.8,41.9,5.62,997,Touring,http://www.fuelly.com/driver/dadsafrantic/
2002,Aprilia,Caponord,10,patrickplummer,17.8,41.9,5.62,997,Touring,http://www.fuelly.com/driver/patrickplummer/
2002,Aprilia,Classic 125,16,andyuk,15,35.3,6.67,125,,http://www.fuelly.com/driver/andyuk/
2001,Aprilia,Futura,19,shaun,12.2,28.7,8.20,998,Sport Touring,http://www.fuelly.com/driver/shaun/
2001,Aprilia,Futura,124,wynterwolf,18.1,42.6,5.52,998,Sport Touring,http://www.fuelly.com/driver/wynterwolf/
2009,Aprilia,Mana,26,evastos,13.4,31.5,7.46,840,Street,http://www.fuelly.com/driver/evastos/
2008,Aprilia,Mana,14,fd2526,14.7,34.6,6.80,840,Street,http://www.fuelly.com/driver/fd2526/
2009,Aprilia,Mana,114,thperez1972,15.9,37.4,6.29,840,Street,http://www.fuelly.com/driver/thperez1972/
2008,Aprilia,Mana,1,tigerdon,17.2,40.5,5.81,840,Street,http://www.fuelly.com/driver/tigerdon/
2009,Aprilia,Mana,17,maweber,18.6,43.8,5.38,840,Street,http://www.fuelly.com/driver/maweber/
2009,Aprilia,Mana,9,dadsafrantic,20.1,47.3,4.98,840,Street,http://www.fuelly.com/driver/dadsafrantic/
2009,Aprilia,Mana,1,rcan08,20.3,47.7,4.93,840,Street,http://www.fuelly.com/driver/rcan08/
