Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2011,Vespa,LX 150,4,ahimc,777.9,3111.6,150,,http://www.fuelly.com/driver/ahimc/LX 150
2011,Kawasaki,EX250,1,alexandrerca,746.5,746.5,250,,http://www.fuelly.com/driver/alexandrerca/EX250
2003,Kawasaki,ZX-6R,2,Pedrokawa,687.2,1374.4,,,http://www.fuelly.com/driver/Pedrokawa/ZX-6R
2012,SYM,Symba,2,Symba,620,1240,,,http://www.fuelly.com/driver/Symba/Symba
2011,Honda,PCX,1,Fnog,614.6,614.6,,,http://www.fuelly.com/driver/Fnog/PCX
2011,Vespa,LX125,1,cheppi,600.4,600.4,125,,http://www.fuelly.com/driver/cheppi/LX125
2011,Keeway,RKV 125,2,andrelouro,561.1,1122.2,125,,http://www.fuelly.com/driver/andrelouro/RKV 125
2011,TaoTao,CY150-A,1,scootvirginia,506.4,506.4,150,,http://www.fuelly.com/driver/scootvirginia/CY150-A
2005,Aprilia,mx 125,1,DannyS,482.3,482.3,125,,http://www.fuelly.com/driver/DannyS/mx 125
2000,Kymco,Movie,1,bejosby,434.3,434.3,,,http://www.fuelly.com/driver/bejosby/Movie
2007,Kymco,Free MX,2,setiadi,423.3,846.6,,,http://www.fuelly.com/driver/setiadi/Free MX
2011,TaoTao,CY150-A,1,scootvirginia,405.5,405.5,150,,http://www.fuelly.com/driver/scootvirginia/CY150-A
2012,Keeway,RKV 125,1,Tiago521,318.6,318.6,125,,http://www.fuelly.com/driver/Tiago521/RKV 125
2005,Honda,CT110,4,jgleschinski,308,1232,110,,http://www.fuelly.com/driver/jgleschinski/CT110
1996,Honda,C100,4,Lian,304.8,1219.2,100,,http://www.fuelly.com/driver/Lian/C100
2009,Honda,S-Wing 125,5,ziggygirl,284.2,1421,125,,http://www.fuelly.com/driver/ziggygirl/S-Wing 125
2012,Honda,Spacy 110,1,serkanozk,283.6,283.6,110,,http://www.fuelly.com/driver/serkanozk/Spacy 110
