"YMCC","fuelups","kml"
"2008 Adly Thunder Bike 150","Added Feb 2011 &bull; 25 fuel-ups Property of tcrusher .","30.3"
"2010 AJS JS 125 E","Added Oct 2012 Property of SebaManiac .","N/A"
"2008 AJS JS 125 E","Added May 2011 &bull; 28 fuel-ups Property of yorkshirepudding .","37.3"
"2004 Aprilia Atlantic 500","Added Jun 2012 &bull; 10 fuel-ups Property of Railhead2 .","27.1"
"2004 Aprilia Atlantic 500","Added Feb 2012 &bull; 11 fuel-ups Property of minixtc .","24.2"
"2004 Aprilia Atlantic 500","Added Nov 2011 Property of rowdyc .","N/A"
"2006 Aprilia Caponord","Added Oct 2009 &bull; 389 fuel-ups Property of dadsafrantic .","17.8"
"2006 Aprilia Caponord","Added Dec 2009 &bull; 3 fuel-ups Property of uwe999.","15.8"
"2005 Aprilia Caponord","Added Jul 2012 &bull; 14 fuel-ups Property of nebo .","15.2"
"2005 Aprilia Caponord","Added Jan 2010 &bull; 32 fuel-ups Property of caporaid .","17.1"
"2003 Aprilia Caponord","Added May 2012 &bull; 50 fuel-ups Property of SLOspeed .","17.4"
"2003 Aprilia Caponord","Added Jun 2010 &bull; 34 fuel-ups Property of calgaryjeff .","14.5"
"2002 Aprilia Caponord","Added Sep 2012 &bull; 4 fuel-ups Property of lmcjn .","15.5"
"2002 Aprilia Caponord","Added Jul 2010 &bull; 10 fuel-ups Property of patrickplummer .","17.8"
"2002 Aprilia Caponord","Added Jul 2011 &bull; 2 fuel-ups Property of bikeral64 .","17.1"
"2002 Aprilia Caponord","Added Apr 2010 Property of mixmasta.","N/A"
"2001 Aprilia Caponord","Added Apr 2012 &bull; 20 fuel-ups Property of FlowerKing .","15.6"
"2001 Aprilia Caponord","Added Jul 2011 &bull; 8 fuel-ups Property of dotted .","15.6"
"2002 Aprilia Classic 125","Added Sep 2012 &bull; 16 fuel-ups Property of andyuk .","15.0"
"2002 Aprilia Futura","Added Oct 2008 Property of brianm.","N/A"
"2001 Aprilia Futura","Added Apr 2011 &bull; 124 fuel-ups Property of wynterwolf .","18.1"
"2001 Aprilia Futura","Added Sep 2010 &bull; 19 fuel-ups Property of shaun .","12.2"
"2001 Aprilia Futura","Added Jul 2011 Property of corsehf .","N/A"
"2010 Aprilia Mana","Added Jan 2012 Property of collary .","N/A"
"2009 Aprilia Mana","Added Apr 2012 &bull; 26 fuel-ups Property of evastos .","13.4"
"2009 Aprilia Mana","Added Aug 2011 &bull; 114 fuel-ups Property of thperez1972 .","15.9"
"2009 Aprilia Mana","Added Jul 2012 &bull; 49 fuel-ups Property of VTX .","20.6"
"2009 Aprilia Mana","Added Aug 2012 &bull; 25 fuel-ups Property of vrider .","22.6"
"2009 Aprilia Mana","Added Sep 2011 &bull; 1 fuel-up Property of MichaelF .","N/A"
"2009 Aprilia Mana","Added Mar 2012 Property of kriskeyman .","N/A"
"2009 Aprilia Mana","Added Aug 2012 &bull; 9 fuel-ups Property of dadsafrantic .","20.1"
"2009 Aprilia Mana","Added Jul 2012 &bull; 17 fuel-ups Property of maweber .","18.6"
"2009 Aprilia Mana","Added May 2012 &bull; 1 fuel-up Property of rcan08 .","20.3"
"2009 Aprilia Mana","Added Sep 2012 Property of robd0gg .","N/A"
"2009 Aprilia Mana","Added Sep 2012 Property of island .","N/A"
"2008 Aprilia Mana","Added Apr 2012 &bull; 14 fuel-ups Property of fd2526 .","14.7"
"2008 Aprilia Mana","Added Aug 2012 &bull; 1 fuel-up Property of tigerdon .","17.2"
"2012 Aprilia Mana GT","Added Sep 2012 &bull; 5 fuel-ups Property of nileshp9 .","20.2"
"2011 Aprilia Mana GT","Added Sep 2011 &bull; 14 fuel-ups Property of szax .","13.3"
"2010 Aprilia Mana GT","Added Oct 2011 &bull; 27 fuel-ups Property of spartan1984 .","17.1"
"2010 Aprilia Mana GT","Added Sep 2012 &bull; 7 fuel-ups Property of nosnikram .","20.3"
"2010 Aprilia Mana GT","Added Jun 2010 &bull; 1 fuel-up Property of durdle .","21.2"
"2009 Aprilia Mana GT","Added Apr 2011 Property of Brick317 .","N/A"
"2008 Aprilia Mana GT","Added Jun 2011 &bull; 35 fuel-ups Property of luckyluk .","17.2"
